name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Daar zijn we weer!,238229.0,True,17.0,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.599,0.976,4.0,-4.478,0.0,0.144,0.181,0.00197,0.303,0.259,100.023,4.0
deep cracks,113684.0,False,29.0,fogdream,deep cracks,0.763,0.368,5.0,-13.875,0.0,0.0892,0.29,0.861,0.102,0.665,75.993,4.0
WKND,264768.0,False,16.0,Camo & Krooked,Zeitgeist,0.611,0.681,9.0,-5.608,0.0,0.184,0.000746,0.68,0.133,0.439,173.968,4.0
Offering,222107.0,False,29.0,The Avett Brothers,A Carolina Jubilee,0.342,0.442,7.0,-7.312,1.0,0.0294,0.24,0.00412,0.107,0.195,88.496,4.0
Hondo,98385.0,False,9.0,Flamman & Abraxas,Hondo,0.597,0.928,3.0,-8.626,0.0,0.034,0.000821,0.798,0.308,0.843,139.084,4.0
Tum Mile,277500.0,False,67.0,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.271,0.726,7.0,-6.504,1.0,0.0527,0.586,0.0,0.353,0.532,87.425,4.0
Tum Mile,277500.0,False,67.0,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.271,0.726,7.0,-6.504,1.0,0.0527,0.586,0.0,0.353,0.532,87.425,4.0
Kya,277500.0,False,67.0,Pritam;Neeraj Shridhar,Crook (Original Motion Picture Soundtrack),0.271,0.726,7.0,-6.504,1.0,0.0527,0.586,0.0,0.353,0.532,87.425,4.0
Kya,277500.0,False,67.0,Pritam;Neeraj Shridhar,Crook (Original Motion Picture Soundtrack),0.271,0.726,7.0,-6.504,1.0,0.0527,0.586,0.0,0.353,0.532,87.425,4.0
イエローライト,274467.0,False,15.0,Shiritsu Ebisu Chugaku,私立恵比寿中学,0.459,0.856,8.0,-4.676,1.0,0.0491,0.0138,1.3e-06,0.0261,0.645,168.171,4.0
Dendrofil for Yggdrasil,339743.0,False,26.0,Kvelertak,Nattesferd,0.107,0.966,9.0,-5.328,1.0,0.0845,8.81e-06,0.603,0.612,0.141,156.655,4.0
Hermosa,210088.0,False,2.0,Timothy Infinite,Suave,0.763,0.858,0.0,-5.413,0.0,0.0496,0.218,0.873,0.103,0.284,101.982,4.0
Forest Green,189435.0,False,34.0,Kyson,Forest Green / Have My Back,0.616,0.314,6.0,-11.98,1.0,0.0426,0.472,0.0999,0.112,0.0924,104.026,4.0
Big Brother,307933.0,True,21.0,Mushroomhead,Superbuick,0.323,0.902,9.0,-6.034,1.0,0.11,0.000528,0.00663,0.161,0.407,147.309,4.0
Dhoom Machale Dhoom,235625.0,False,52.0,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,0.899,1.0,-8.262,1.0,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0
Dhoom Machale Dhoom,235625.0,False,52.0,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,0.899,1.0,-8.262,1.0,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0
Dhoom Machale,235625.0,False,52.0,Pritam;Sunidhi Chauhan;Sameer,Dhoom,0.7,0.899,1.0,-8.262,1.0,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0
Dhoom Machale,235625.0,False,52.0,Pritam;Sunidhi Chauhan;Sameer,Dhoom,0.7,0.899,1.0,-8.262,1.0,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0
Confide,268378.0,False,34.0,Technimatic;A Little Sound,Confide,0.285,0.867,10.0,-3.65,0.0,0.0465,0.0101,0.000269,0.0887,0.0378,173.818,4.0
Rockit,155653.0,False,24.0,Bad Boy Bill,The Album,0.866,0.574,7.0,-7.836,1.0,0.0649,0.00108,0.443,0.0406,0.602,127.951,4.0
My Promiscuous Daughter,196960.0,False,28.0,CKY,"Camp Kill Yourself, Vol.1",0.263,0.767,7.0,-10.161,1.0,0.0525,0.00696,0.478,0.356,0.308,125.995,4.0
Are You Ready (ft. Capital J),171789.0,False,14.0,Bassnectar;Capital J,Cozza Frenzy,0.471,0.731,1.0,-6.222,1.0,0.0921,0.000248,0.731,0.195,0.667,94.511,4.0
Graveyard Slut,243627.0,True,20.0,Darkthrone,The Cult is Alive,0.0658,0.993,9.0,-2.484,1.0,0.164,0.000697,0.217,0.317,0.107,199.986,4.0
Too Close To Hate,288331.0,True,29.0,Sevendust,Sevendust,0.641,0.858,11.0,-7.024,1.0,0.0946,0.000302,0.000807,0.219,0.377,92.502,4.0
We Don't Talk About Bruno (from Disney's 'Encanto'),127759.0,False,4.0,Piano Genie,We Don't Talk About Bruno (from Disney's 'Encanto'),0.737,0.0292,9.0,-31.514,0.0,0.0617,0.995,0.971,0.0863,0.185,95.036,4.0
Their Law,400733.0,True,29.0,The Prodigy,Music for the Jilted Generation,0.638,0.962,7.0,-8.468,1.0,0.0541,0.00223,0.716,0.309,0.562,119.081,4.0
Amores de barra,194667.0,False,29.0,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.604,0.827,7.0,-6.99,1.0,0.155,0.443,2.46e-06,0.201,0.315,172.065,4.0
Mehman,270938.0,False,24.0,Anupam Roy,Mehman,0.603,0.783,6.0,-6.012,1.0,0.0486,0.131,4.16e-05,0.234,0.703,127.981,4.0
BALD! REMIX,153127.0,True,48.0,JPEGMAFIA;Denzel Curry,BALD! REMIX,0.721,0.949,1.0,0.402,1.0,0.31,0.181,0.0,0.646,0.705,155.015,4.0
Be Kind,247434.0,False,38.0,Rival Consoles,Persona,0.507,0.343,10.0,-20.092,0.0,0.0405,0.959,0.93,0.102,0.45,154.096,4.0
期待,282840.0,False,24.0,王瑞霞,"鄉城台語精選, Vol. 1",0.318,0.645,0.0,-10.555,1.0,0.0536,0.128,0.0,0.0825,0.483,74.127,4.0
Close - Derrick Carter Mix,759400.0,False,6.0,Chez Damier;Derrick Carter,Close,0.728,0.797,0.0,-9.004,0.0,0.036,1.04e-05,0.756,0.626,0.661,128.025,4.0
Stukas im Visier,334880.0,False,20.0,Feindflug,Feindflug (Vierte Version),0.59,0.998,4.0,-2.613,1.0,0.0672,0.00494,0.915,0.373,0.0877,139.911,4.0
Fried Banana 2018,279800.0,False,10.0,OSAMU SATO,LSD REVAMPED,0.56,0.886,9.0,-8.416,0.0,0.0456,0.107,0.833,0.0795,0.964,120.005,4.0
Mi Chaqueta de Cuero,175177.0,True,41.0,C.R.O,C.R.O - Mdbcrew Vol 2,0.735,0.509,5.0,-8.174,0.0,0.0684,0.773,0.0484,0.0948,0.32,137.068,4.0
cheesus,126000.0,False,0.0,Giorgio Robertini,Slidetrue,0.598,0.336,9.0,-11.992,1.0,0.0769,0.778,0.942,0.103,0.0386,90.156,4.0
Shabistan,389800.0,False,6.0,Dariush Dolat-Shahi,"Electronic Music, Tar and Sehtar",0.316,0.48,7.0,-14.772,0.0,0.0559,0.828,0.817,0.0685,0.269,89.008,4.0
Prego e Martelo,178678.0,False,43.0,Pablo,Meu Coração,0.773,0.8,4.0,-3.929,1.0,0.0389,0.75,0.0,0.122,0.792,131.948,4.0
Weird Sex,50640.0,False,0.0,Leila Bela,Angra Manyu,0.34,0.332,6.0,-17.576,1.0,0.0597,0.767,0.635,0.112,0.139,81.286,3.0
Crackpipe,272382.0,False,24.0,Micropoint,Overdose United,0.673,0.984,5.0,-1.414,0.0,0.288,0.0002,0.898,0.0887,0.105,99.998,4.0
退後,260200.0,False,60.0,Jay Chou,依然范特西,0.661,0.572,0.0,-5.665,1.0,0.0246,0.406,0.0,0.111,0.186,131.954,4.0
可愛女人,236467.0,False,55.0,Jay Chou,杰倫,0.767,0.671,5.0,-9.995,1.0,0.0317,0.552,3.23e-05,0.201,0.921,135.468,4.0
Pai Nosso - Ao Vivo,215120.0,False,26.0,Padre Marcelo Rossi,Padre Marcelo Rossi Sem Limite,0.243,0.567,9.0,-8.019,1.0,0.0352,0.232,0.0,0.319,0.245,93.458,4.0
"Bilu, Bilu",207493.0,False,59.0,Pablo,É Só Dizer Que Sim,0.628,0.663,5.0,-6.267,1.0,0.0298,0.437,0.0,0.527,0.606,132.009,4.0
Nossa História,276240.0,False,46.0,Forró Boys,"Forró di Katiguria, Vol. 3",0.717,0.822,8.0,-4.765,1.0,0.0334,0.0874,0.0,0.116,0.901,92.998,4.0
Ballada 07,216640.0,False,22.0,Grzegorz Markowski,Polska Nostalgia 60+ Cz.3,0.498,0.479,5.0,-7.251,1.0,0.0251,0.629,0.000884,0.229,0.281,109.092,4.0
I'm not yours (feat. 安室奈美惠),277245.0,False,25.0,Jolin Tsai;Namie Amuro,呸,0.418,0.814,9.0,-7.179,0.0,0.0693,0.00254,0.000888,0.472,0.308,128.105,4.0
Baadaabaad,290000.0,False,0.0,Rojin Sharafi,Zangaar,0.4,0.415,7.0,-13.288,0.0,0.16,0.839,0.362,0.111,0.0383,88.553,1.0
Ginger Root,140750.0,False,5.0,"Sarah, the Illstrumentalist",FLOWERS,0.396,0.217,9.0,-12.465,0.0,0.0415,0.677,0.794,0.176,0.107,84.658,4.0
Anye Up,200914.0,False,22.0,Ed Solo,"Welcome To The Jungle, Vol. 6: The Ultimate Jungle Cakes Drum & Bass Compilation",0.529,0.866,1.0,-3.226,1.0,0.0503,7.45e-06,0.936,0.152,0.739,174.996,4.0
Aura,521402.0,False,57.0,Avoure,U,0.684,0.604,11.0,-9.088,0.0,0.0471,0.00487,0.887,0.0456,0.364,123.0,4.0
Andas,185920.0,False,26.0,Noa Sandberg,Andas,0.144,0.0158,10.0,-34.45,1.0,0.0424,0.884,0.834,0.106,0.209,67.858,3.0
Noble Maiden Fair,163724.0,False,18.0,Jartisto,Brave (Music from the Motion Picture for Solo Piano),0.625,0.0464,11.0,-20.287,0.0,0.115,0.991,0.946,0.147,0.455,120.912,3.0
Tiê,236733.0,False,20.0,Sambabook;Criolo,"Sambabook Dona Ivone Lara, Vol. 1",0.668,0.516,11.0,-9.196,1.0,0.0726,0.645,0.0,0.0987,0.858,89.252,4.0
Imprint of Pleasure,442627.0,False,56.0,Tube & Berger,Pleasure Dip,0.806,0.615,9.0,-8.129,0.0,0.0928,0.153,0.775,0.102,0.499,122.064,3.0
Get This Place - Radio Mix,203027.0,False,17.0,Paul Elstak,The Best Of Paul Elstak Top 20,0.572,0.988,0.0,-5.352,1.0,0.0499,0.0064,0.315,0.419,0.656,158.917,4.0
Billo Rani,329247.0,False,60.0,Pritam;Anand Raj Anand;Richa Sharma,Dhan Dhana Dhan Goal,0.71,0.845,11.0,-6.878,0.0,0.111,0.257,0.0,0.192,0.846,98.016,4.0
(......棕髮少女)(feat. 小野麗莎),219925.0,False,35.0,吳青峰;Lisa Ono,馬拉美的星期二,0.534,0.592,0.0,-8.56,1.0,0.0352,0.0426,0.0385,0.0957,0.202,88.012,4.0
Take U Back - Mad Dog Remix,305625.0,False,24.0,Angerfist;Mad Dog,The Deadfaced Dimension,0.433,0.99,11.0,-3.224,1.0,0.326,0.000207,0.831,0.123,0.123,173.0,4.0
Dozen + 10,160820.0,True,19.0,Govana,Liverpool Riddim,0.743,0.535,7.0,-5.016,1.0,0.284,0.217,3.13e-06,0.119,0.529,100.308,4.0
