track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
16vImrCWhWHYd7BhEKDJaa,0.472,0.506,233840,0.798,0.00593,2,0.198,-6.466,1,0.0322,114.798,4,0.602
00EQ4yN6Z9tEpvMxk5gmFM,0.0996,0.691,221936,0.895,0.0202,4,0.0589,-4.755,0,0.0479,90.013,4,0.682
6xVeWeoTDZt91qaFRSnUWD,0.943,0.205,145128,1.0,0.525,6,0.963,-24.878,0,0.0447,132.289,3,1e-05
5heios35bREoyatMHZC30h,0.63,0.645,135147,0.577,3.82e-06,2,0.1,-5.938,1,0.0261,106.929,4,0.748
7pgFHs8K5OgB9PGDY3sysE,0.166,0.793,346240,0.339,0.809,5,0.11,-14.317,1,0.0555,125.993,4,0.266
3drtgCg2gNTqM1MVT3RBg6,0.00284,0.579,101853,0.89,6.11e-06,7,0.659,-7.013,1,0.0588,155.111,4,0.888
2lEPtBF7FhGnzEpvbJFkHU,0.00274,0.707,316213,0.961,0.186,7,0.154,-3.419,1,0.158,92.509,4,0.161
2FvMlJq0bKurGnR77QJvS5,0.553,0.646,126029,0.277,0.944,11,0.117,-10.531,1,0.0315,86.004,4,0.273
3Wmna4aFFunNJPeLzwcdUa,0.0106,0.497,470760,0.541,0,4,0.247,-9.54,1,0.0292,103.952,4,0.117
10zYErxZB71gJnKk5iaQD9,0.831,0.77,124138,0.268,0.934,2,0.108,-10.559,1,0.0775,86.997,4,0.371
3xCzJdEk1ixBUPg32TNirS,0.121,0.707,274809,0.927,0.55,1,0.086,-6.861,1,0.109,131.009,4,0.0519
5yr3x2a1Qoz3cECLhuAbqa,0.0203,0.627,217333,0.856,0.911,0,0.872,-8.674,0,0.0326,96.963,4,0.777
3nRooNh2wzDNXEy9KUnecK,0.827,0.599,219131,0.664,0,1,0.293,-5.747,1,0.0408,139.902,4,0.452
7A65TXKboDpRqITj44k1z7,0.00419,0.573,228293,0.832,0.00132,2,0.74,-8.546,1,0.0418,107.979,4,0.293
0c1RJfMPYWpgdUvC02JCpJ,0.789,0.57,363587,0.457,2.04e-06,1,0.971,-11.006,0,0.0856,79.109,4,0.527
6TRYv8brfH12SfgV8lMraP,0.393,0.569,230853,0.496,0.924,4,0.11,-11.423,0,0.0674,82.822,4,0.808
643hRiTY9vzD6P0cWO8UP3,0.581,0.684,226773,0.683,9.52e-06,10,0.123,-6.374,1,0.028,135.978,4,0.676
2YjSz9dLGdkHOc20Ayq4pl,0.071,0.732,197341,0.493,0,6,0.145,-6.672,1,0.456,185.928,4,0.648
4VIYHUaZ4xSdHuDoqTqKgt,0.00694,0.934,292500,0.533,0.447,8,0.0942,-6.17,1,0.0789,128.001,4,0.15
4op0sQ8BfzRsW4gGGlR7TU,0.192,0.727,144194,0.712,0,10,0.196,-5.742,0,0.0597,123.955,4,0.515
3Q3LljvwFQhdqwlMX7lb8v,0.194,0.689,176033,0.418,0.866,9,0.405,-11.424,0,0.0261,104.594,4,0.151
6ijjVhsdUDrHWTkciKq0nD,0.994,0.214,144783,0.0422,0.896,2,0.0969,-28.109,1,0.0366,69.912,3,0.0575
5AiGpfWDQCb0DdVfMkA9W9,0.0994,0.776,99000,0.813,6.16e-05,6,0.097,-5.323,0,0.146,93.998,4,0.397
52RANyomHjZMyuEZzNTHDO,0.11,0.81,261267,0.545,0.00318,9,0.246,-12.579,0,0.0477,95.31,4,0.726
0VLpouvHEujW43EsNXUCBo,0.000528,0.583,227387,0.92,0.839,7,0.107,-5.685,1,0.0558,94.998,4,0.406
1r6ydnQKC9Ukvh87ANT0Hh,0.202,0.408,294600,0.731,0.764,3,0.604,-6.259,0,0.043,112.019,4,0.324
0dfu8ZDFuVmcSGzvq4vQl9,0.677,0.601,413480,0.616,0.831,5,0.117,-10.865,1,0.0322,112.775,4,0.798
1Q94WI2punbv0tABeSch7n,0.000393,0.527,226000,0.947,0.00372,4,0.075,-4.205,0,0.0574,142.008,4,0.206
3rAchCb8ZxPuKJVXxQX6ui,0.949,0.19,190000,0.0959,0.976,2,0.102,-26.159,1,0.0446,79.531,3,0.0464
6M9aKmafWys7ILg1qXPTGa,0.0157,0.575,193609,0.839,0,5,0.313,-4.435,0,0.353,129.815,5,0.8
0x5ZedIvJAu3lXo355x8AQ,0.992,0.104,174566,0.0176,0.913,0,0.13,-32.272,1,0.0423,90.758,4,0.0396
2DIWmmR9el57rtcTEYE7Eh,0.623,0.607,168800,0.859,0,10,0.276,-5.325,0,0.298,83.042,4,0.728
1GER4WyYnB0sOlzCMNi2Bk,0.0737,0.551,150721,0.59,2.25e-05,3,0.112,-8.492,1,0.0621,102.14,4,0.128
7JFa80j5Cw6DMf8RISgd0t,0.121,0.581,209614,0.839,1.95e-06,4,0.102,-5.968,1,0.0517,146.928,4,0.413
7tuf1Tr79WpGtreNC1rK7q,0.000606,0.603,265240,0.671,0.0025,11,0.239,-9.025,0,0.0284,130.019,4,0.456
2Vc9LNNO6F2A7pYxPx3yWX,0.567,0.778,144914,0.852,0,8,0.0968,-2.346,0,0.0265,111.064,4,0.702
4vF5CLuFgNo6o3Rt2FrNoA,0.981,0.0664,188000,0.00692,0.937,10,0.108,-33.73,0,0.0434,73.711,4,0.072
1I2OwO2Z6tMdahxDcH3p1H,0.00565,0.809,179922,0.927,0.00694,1,0.0622,-7.488,1,0.188,131.996,4,0.4
2uZzgoNxvRXEzaE2ORQV0V,0.00427,0.699,435414,0.855,0.00925,1,0.102,-5.798,0,0.0793,124.962,4,0.175
4FjkjrvfbB3C4eUqWlw3vB,0.497,0.707,168367,0.572,4.06e-06,1,0.126,-5.378,1,0.157,98.003,4,0.456
2KezizwgtM5kC8ZQxcBf0T,0.433,0.459,362735,0.399,0,6,0.682,-9.954,1,0.0339,139.792,3,0.374
6ueWea9Fl5OkarsQf4Fn14,0.499,0.538,187758,0.685,0,2,0.106,-4.673,0,0.353,89.662,5,0.565
6lnXNuAixFoNuoEe2dXb6d,0.477,0.728,194064,0.719,0,2,0.0713,-4.201,0,0.0459,107.95,4,0.719
3WJsbRrS5rE2FxBWe1Pkhq,2.68e-05,0.156,467333,0.981,0.534,4,0.144,-7.823,0,0.0908,127.326,4,0.0965
