consequent,antecedent,abs_support,%_support,confidence,lift
notExplicit,"('Minor', 'veryLowSpeechiness')",3282,21.88,0.9491035280508965,1.0144330141629931
notExplicit,"('veryLongDuration', 'veryLowAcousticness', 'veryLowSpeechiness')",3821,25.473333333333333,0.9490809736711376,1.0144089073013443
notExplicit,"('unpopular', 'veryLowLiveness')",3073,20.486666666666668,0.9490426189005559,1.014367912463185
Major,"('lowLiveness', 'notExplicit')",2372,15.813333333333333,0.7511082963901203,1.0140063401900643
Major,"('longDuration', 'notExplicit')",3183,21.22,0.75053053525112,1.0132263548525606
notExplicit,"('moderateDanceability', 'Major')",3726,24.84,0.9478504197405241,1.0130936508556263
veryLowSpeechiness,"('highDanceability', 'veryLowAcousticness')",2917,19.44666666666667,0.918740157480315,1.013018403572826
notExplicit,"('veryLowInstrumentalness', 'veryLowLiveness', 'veryLowSpeechiness')",3075,20.5,0.9467364532019704,1.0119030068426362
veryLowSpeechiness,"('highEnergy', 'notExplicit')",3101,20.673333333333332,0.91772713820657,1.0119014314244743
notExplicit,"('veryLowLiveness', 'Major')",6859,45.72666666666667,0.9463300220750552,1.0114685999092081
veryLowSpeechiness,"('unpopular', 'Major')",3648,24.32,0.9172743273824491,1.0114021545675342
veryLowSpeechiness,"('veryLowLiveness',)",9012,60.08,0.9170652284522235,1.0111715985580236
notExplicit,"('veryLowInstrumentalness', 'Major', 'veryLowSpeechiness')",3674,24.493333333333332,0.9459320288362513,1.0110432116676478
Major,"('veryLowInstrumentalness', 'veryLowLiveness', 'veryLowSpeechiness')",2432,16.21333333333333,0.7487684729064039,1.0108475468991143
notExplicit,"('longDuration', 'veryLowSpeechiness')",3914,26.093333333333334,0.9454106280193236,1.0104859213545572
Major,"('veryLowInstrumentalness', 'veryLowSpeechiness', 'notExplicit')",3674,24.493333333333332,0.7479641693811075,1.009761726281758
Major,"('lowLiveness',)",2565,17.1,0.7478134110787172,1.0095582005382735
Major,"('veryLowSpeechiness', 'notExplicit')",9724,64.82666666666667,0.747654928494541,1.0093442469100995
Major,"('veryLowInstrumentalness', 'notExplicit')",3925,26.166666666666664,0.7476190476190476,1.0092958072437868
veryLowSpeechiness,"('Minor', 'notExplicit')",3282,21.88,0.9152258784160625,1.0091435001647264
notExplicit,"('veryLongDuration', 'veryLowAcousticness')",3997,26.64666666666667,0.9440245630609353,1.0090044496162198
veryLowSpeechiness,"('lowLiveness', 'notExplicit')",2889,19.259999999999998,0.9148195060164661,1.0086954270984263
notExplicit,"('lowLiveness', 'veryLowSpeechiness')",2889,19.259999999999998,0.9435009797517963,1.0084448265837924
veryLowSpeechiness,"('veryLowAcousticness', 'Major')",5301,35.339999999999996,0.9144385026737968,1.0082753263824575
notExplicit,"('veryLowAcousticness', 'veryLowLiveness', 'veryLowSpeechiness')",4248,28.32,0.9425338362547149,1.0074111118583955
veryLowSpeechiness,"('veryUnpopular', 'veryLowLiveness')",3816,25.44,0.9135743356475939,1.0073224812344832
veryLowSpeechiness,"('veryLowAcousticness',)",7363,49.086666666666666,0.9134102468676343,1.0071415541763096
notExplicit,"('moderateDanceability',)",4846,32.306666666666665,0.9420684292379471,1.0069136695574468
veryLowSpeechiness,"('Major',)",10146,67.64,0.9131491314913149,1.0068536439554339
Major,"('veryLowSpeechiness',)",10146,67.64,0.7458100558659218,1.0068536439554339
Major,"('veryLowLiveness', 'veryLowSpeechiness', 'notExplicit')",6454,43.02666666666667,0.7454377454377454,1.006351019851155
notExplicit,"('veryLowInstrumentalness', 'veryLowSpeechiness')",4912,32.74666666666667,0.9413568417018015,1.0061531014341614
Major,"('veryLowInstrumentalness', 'veryLowLiveness')",2611,17.406666666666666,0.745148401826484,1.005960402069774
notExplicit,"('veryLowLiveness',)",9247,61.646666666666675,0.9409789355856314,1.0057491829688237
notExplicit,"('veryLowAcousticness', 'veryLowLiveness', 'Major', 'veryLowSpeechiness')",3029,20.19333333333333,0.9406832298136646,1.0054331229303812
notExplicit,"('veryLongDuration', 'veryLowAcousticness', 'Major')",2854,19.026666666666667,0.94067237969677,1.0054215259691854
veryLowSpeechiness,"('veryHighEnergy',)",5227,34.846666666666664,0.9117390545961974,1.0052988693724612
veryLowSpeechiness,"('veryHighEnergy', 'Major')",3773,25.153333333333332,0.9115728436820488,1.0051156024133145
notExplicit,"('Major',)",10448,69.65333333333334,0.9403294032940329,1.0050549415284662
Major,"('notExplicit',)",10448,69.65333333333334,0.7444776970215191,1.0050549415284662
Major,"('longDuration',)",3445,22.966666666666665,0.7443820224719101,1.0049257795948745
Major,"('veryLowInstrumentalness', 'veryLowSpeechiness')",3884,25.893333333333334,0.7443464929091606,1.0048778142055088
notExplicit,"('veryUnpopular', 'veryLowLiveness')",3926,26.173333333333332,0.9399090256164712,1.0046056280637785
notExplicit,"('highDanceability', 'Major')",3864,25.759999999999998,0.9396887159533074,1.0043701538620216
Major,"('veryLowLiveness', 'veryLowSpeechiness')",6697,44.64666666666667,0.7431202840656902,1.0032224157128389
veryLowSpeechiness,"('unpopular',)",4702,31.346666666666668,0.9098297213622291,1.003193606324128
Major,"('veryLowInstrumentalness',)",4210,28.066666666666666,0.7423734791042145,1.0022142189328789
Major,"('veryLowLiveness', 'notExplicit')",6859,45.72666666666667,0.7417540824051043,1.0013780250271411
